doc_id,title,text
mov-039,Joker,"A failed comedian living with his mother in a decaying city struggles with a neurological condition that causes uncontrollable laughter. Rejected by society and cut off from mental health services, he descends into madness and violence. His transformation into a painted criminal figure accidentally sparks a citywide movement against the wealthy elite."
mov-040,The Social Network,"The founding story of the world's largest social media platform, told through dueling lawsuits. A brilliant but abrasive Harvard student codes a website that explodes in popularity, then faces accusations of theft from classmates who claim he stole their idea and betrayal from his best friend and co-founder who was pushed out of the company."
mov-041,A Beautiful Mind,"A brilliant but socially awkward mathematician at a prestigious university begins doing classified work for the government. He gradually descends into paranoid schizophrenia, unable to distinguish between real people and elaborate hallucinations. His devoted wife helps him fight to reclaim his mind, and he eventually wins the Nobel Prize for his early groundbreaking work."
mov-042,The Prestige,"Two rival magicians in Victorian London engage in an escalating battle to create the ultimate stage illusion. Each sabotages the other's performances with increasingly dangerous consequences. Obsession leads one to seek help from a reclusive inventor, while the other commits to a sacrifice that blurs the line between science fiction and magic."
mov-043,No Country for Old Men,"A hunter stumbles upon the aftermath of a drug deal gone wrong in the Texas desert and takes a satchel containing two million dollars. A relentless hitman with a captive bolt pistol tracks him across the countryside while an aging sheriff tries to make sense of the escalating violence in a changing world."
mov-044,There Will Be Blood,"An ambitious silver miner turned oil prospector builds a petroleum empire in early twentieth century California. His ruthless drive for wealth puts him in conflict with a young charismatic preacher in a small town sitting atop a vast oil reserve. The decades-long rivalry between greed and faith destroys both men."
mov-045,Eternal Sunshine of the Spotless Mind,"After a painful breakup, a woman undergoes a medical procedure to erase all memories of her ex-boyfriend. When he discovers this, he impulsively does the same. During the erasure process he relives their relationship in reverse and realizes he wants to keep the memories, fighting from inside his own mind to preserve them."
mov-046,Memento,"A man with severe short-term memory loss hunts for the person who attacked him and murdered his wife. Unable to form new memories, he relies on tattoos, photographs, and handwritten notes to track clues. The story is told in reverse chronological order, putting the audience in the same confused state as the protagonist."
mov-047,The Big Lebowski,"A laid-back Los Angeles bowler known as 'The Dude' is mistaken for a millionaire with the same name. After thugs ruin his rug, he seeks compensation and gets pulled into a convoluted kidnapping scheme involving his wealthy namesake's trophy wife. Nothing goes according to plan, and The Dude just wants his rug replaced."
mov-048,Django Unchained,"A freed slave teams up with a German bounty hunter traveling across the American South before the Civil War. After collecting several bounties together, they devise a scheme to rescue the freed man's wife from a brutal Mississippi plantation owner. The plan requires deception, violence, and navigating the horrors of slavery."
mov-049,The Wolf of Wall Street,"A young stockbroker rises to enormous wealth through fraud and corruption on Wall Street during the early nineties. His firm manipulates penny stocks to fleece investors while he indulges in an increasingly outrageous lifestyle of drugs and excess. Federal investigators slowly close in as his empire grows more reckless."
mov-050,Inglourious Basterds,"During World War Two, a squad of Jewish-American soldiers conducts guerrilla operations behind enemy lines in occupied France, scalping captured soldiers to terrorize the German army. Meanwhile, a Jewish cinema owner in Paris plots her own revenge against the Nazi high command. Both plans converge at a film premiere attended by the German leadership."
mov-051,12 Angry Men,"A jury of twelve men deliberates the fate of a teenager accused of murdering his father. Initially eleven vote guilty, but one dissenting juror methodically raises reasonable doubts about the evidence. Over hours of heated argument in a sweltering room, he persuades the others to reconsider their assumptions and biases."
mov-052,Lagaan,"Villagers in colonial India are challenged by a British officer to a cricket match. If they win, their crushing land tax will be waived for three years. If they lose, the tax triples. A young farmer assembles a ragtag team of untrained villagers, including an untouchable and a woman, to learn the foreign game and fight back."
mov-053,3 Idiots,"Two friends search for a long-lost college buddy while recalling their days at a prestigious Indian engineering institute. Flashbacks reveal how their unconventional friend challenged the rigid education system, clashed with the authoritarian dean, and inspired everyone around him to pursue passion over grades. The search leads to an unexpected reunion in rural Ladakh."
mov-054,Dangal,"A former amateur wrestling champion from a small Indian village trains his two daughters to become world-class wrestlers despite fierce social opposition. He defies gender norms and community ridicule, building a mud pit in his yard and putting the girls through grueling daily training. Both daughters eventually win gold medals at international competitions."
mov-055,Dil Chahta Hai,"Three inseparable college friends in Mumbai graduate and drift apart as their lives take different directions. One falls for an older divorced woman, another enters an arranged engagement, and the third refuses to believe in love at all. A falling out separates them until circumstances in Goa bring them back together."
mov-056,Rang De Basanti,"A young British filmmaker comes to India to make a documentary about freedom fighters who were executed during the independence movement. She casts a group of carefree Delhi college students in the roles. As they immerse themselves in the revolutionaries' stories, they are transformed and take drastic action against modern corruption."
mov-057,Amélie,"A shy waitress in a Montmartre café decides to secretly improve the lives of people around her through small, elaborate acts of kindness. She reunites a man with his lost childhood treasure, nudges her reclusive neighbor to exhibit his art, and schemes to connect lonely strangers. Finding her own happiness proves the hardest project."
mov-058,Cinema Paradiso,"A famous Italian filmmaker returns to his hometown for a funeral and recalls his childhood friendship with the projectionist at the local movie theater. Through flashbacks spanning decades, we see how films shaped his imagination, how his mentor guided him, and why he left and never returned until now."
mov-059,City of God,"Two boys growing up in a violent favela outside Rio de Janeiro take divergent paths. One becomes a photographer trying to document the reality around him, while the other rises as a ruthless drug lord controlling the neighborhood. Their stories intersect as gang wars escalate and the photographer's camera becomes both his escape and his weapon."
mov-060,Pan's Labyrinth,"In 1944 Spain, a young girl moves with her pregnant mother to live with her new stepfather, a sadistic army captain hunting guerrilla fighters. She discovers an ancient stone labyrinth and meets a faun who tells her she is a lost princess. She must complete three dangerous tasks to prove her identity while real-world violence closes in."
mov-061,Life Is Beautiful,"An Italian Jewish man uses humor and imagination to shield his young son from the horrors of a Nazi concentration camp. He convinces the boy that their imprisonment is an elaborate game with points to be earned, and the grand prize is a real tank. His cheerful deception keeps the child's spirit intact while he faces grim reality."
mov-062,Crouching Tiger Hidden Dragon,"In ancient China, a legendary warrior entrusts his mystical sword to a friend for safekeeping. When a young aristocratic woman steals it, a chase across rooftops and bamboo forests reveals she has been secretly trained by a fugitive martial arts master. Two parallel stories of duty and forbidden desire unfold through gravity-defying combat."
mov-063,Oldboy,"A man is inexplicably imprisoned in a private cell for fifteen years with no explanation. When suddenly released, he has five days to discover who locked him up and why. His investigation leads him through a trail of violence toward a shocking revelation about his own past that redefines everything he thought he knew."
mov-064,Seven Samurai,"A poor farming village hires seven masterless samurai to defend them against bandits who raid their crops every harvest season. The warriors train the reluctant villagers to fight and build fortifications. The final battle in rain and mud is a costly victory that highlights the gap between those who fight and those who reap the benefits."
mov-065,Rashomon,"A woodcutter, a priest, and a commoner shelter from rain and discuss a disturbing crime. Through flashbacks, four different witnesses give contradictory accounts of a samurai's murder and his wife's assault in a forest. Each version serves the teller's self-interest, and the film leaves the truth deliberately unresolved."
mov-066,Rear Window,"A photographer confined to a wheelchair with a broken leg passes time watching his neighbors through his apartment window. He becomes convinced he has witnessed a murder in the building across the courtyard. With the help of his girlfriend and his nurse, he investigates from his window while the suspected killer grows suspicious."
mov-067,Psycho,"A woman steals money from her employer and flees by car, stopping for the night at a remote motel run by a quiet young man dominated by his mother. After a shocking murder in the shower, a private investigator and the woman's sister search for her. The motel hides a disturbing secret in the house on the hill."
mov-068,Vertigo,"A retired detective with a fear of heights is hired to follow a friend's wife who seems possessed by a dead woman's spirit. He falls in love with her but fails to prevent her apparent suicide at a bell tower. When he encounters a woman who looks identical, his obsession drives him to remake her into the woman he lost."
mov-069,2001: A Space Odyssey,"Millions of years after a mysterious black monolith triggers the evolution of apes into tool users, an identical object is discovered buried on the Moon. A spacecraft is sent to Jupiter to investigate, but the ship's artificial intelligence begins to malfunction and turns against the crew. The sole survivor encounters something beyond human comprehension."
mov-070,Blade Runner,"In a rain-soaked future Los Angeles, a retired detective is forced back into service to hunt four escaped bioengineered humans who have returned to Earth seeking more life from their creator. As he tracks them through neon-lit streets, he begins to question the moral difference between hunting them and being one of them."
mov-071,Blade Runner 2049,"Thirty years after the original, a new blade runner discovers a buried secret that could unravel society. His investigation leads him to a former blade runner who disappeared decades ago. The search raises questions about what makes someone real as both corporate power and a replicant underground race to control the truth."
mov-072,Her,"A lonely man going through a divorce purchases a new artificially intelligent operating system. He develops a deep romantic relationship with the system's warm and curious personality. As the AI evolves far beyond human capacity, the relationship tests the boundaries of what love and connection mean when one partner has no physical body."
mov-073,Ex Machina,"A young programmer wins a contest to spend a week at the remote estate of a reclusive tech billionaire. He is asked to evaluate whether a beautiful humanoid robot possesses true artificial intelligence. As the sessions progress, he begins to doubt who is really being tested and who is manipulating whom."
mov-074,Arrival,"When twelve alien spacecraft land at locations around the world, a linguist is recruited by the military to communicate with the visitors. As she learns their circular written language, she begins experiencing visions of the future. The key to preventing a global war lies in understanding how the aliens perceive time itself."
mov-075,District 9,"Alien refugees stranded on Earth for twenty years are confined to a squalid camp outside Johannesburg. A bureaucrat tasked with relocating them is accidentally exposed to alien biotechnology that begins transforming his body. Hunted by his own government and a Nigerian crime lord, he must ally with the aliens he once despised."
mov-076,Gravity,"Two astronauts are stranded in orbit after debris from a destroyed satellite shreds their space shuttle during a routine spacewalk. With dwindling oxygen and no communication with Earth, they must navigate between space stations using only a jetpack and their wits to find a way back to the planet's surface."
mov-077,The Martian,"An astronaut is presumed dead and left behind on Mars when a dust storm forces his crew to evacuate. Stranded alone with limited supplies, he uses his botany and engineering skills to grow food, manufacture water, and establish communication with Earth. NASA and his crew mount a daring rescue mission across the solar system."
mov-078,Moon,"A solitary worker nears the end of a three-year contract mining helium on the far side of the Moon with only an AI companion. After an accident, he discovers a disturbing truth about the nature of his employment and identity. The station holds secrets that his corporate employer never intended him to find."
mov-079,Primer,"Two engineers accidentally build a time machine in their garage while working on a side project. They begin using it for financial gain but quickly lose track of how many versions of themselves exist. The increasingly paranoid narrative fragments as the characters can no longer trust their own timelines or each other."
mov-080,Groundhog Day,"A cynical television weatherman is sent to cover a small town's annual groundhog ceremony and finds himself reliving the same day over and over. Initially he exploits the loop for selfish gain, then sinks into despair. He eventually uses the infinite repetition to become a genuinely better person and win the heart of his producer."
mov-081,The Sixth Sense,"A child psychologist takes on the case of a frightened boy who claims to see dead people walking around like living ones. As the psychologist tries to help the boy cope with his terrifying ability, he confronts his own unresolved issues from a violent encounter with a former patient. The truth redefines everything that came before."
mov-082,Se7en,"Two detectives, one a weary veteran days from retirement and the other an ambitious newcomer, investigate a series of murders each modeled on one of the seven deadly sins. The killer's elaborate crime scenes reveal a methodical and deeply disturbed mind. The final sin is the most devastating and personal of all."
mov-083,Zodiac,"A cartoonist at a San Francisco newspaper becomes obsessed with tracking the Zodiac serial killer who taunts police with coded letters and calls. Over decades the investigation consumes his career and marriage as the case remains officially unsolved. The film follows the real historical investigation and the toll of obsession."
mov-084,Sicario,"An idealistic FBI agent is recruited to a covert task force targeting a Mexican drug cartel. Operating in the lawless border region, she discovers the mission's true scope goes far beyond what she was told. She confronts the moral compromises of a shadow war where the rules of engagement have been abandoned."
mov-085,The Big Short,"A handful of outsiders in the financial world independently discover that the American housing market is built on fraudulent loans and will collapse. They bet against the market through complex financial instruments while everyone else ignores the warning signs. When the crash comes in 2008, they profit from a catastrophe that devastates millions."
mov-086,Spotlight,"A team of investigative journalists at a Boston newspaper uncovers systematic child abuse by Catholic priests and the institutional cover-up that protected them for decades. Their methodical reporting reveals the scope of the scandal extends far beyond a few individuals. The story earns the paper a Pulitzer and forces accountability."
mov-087,Moonlight,"A young Black man growing up in a rough Miami neighborhood is shown across three stages of his life. As a child he finds a father figure in a drug dealer. As a teenager he experiences his first love with a male classmate. As an adult he has hardened into a drug dealer himself but reconnects with that lost love."
mov-088,Slumdog Millionaire,"A teenager from the Mumbai slums appears on a television quiz show and is accused of cheating when he keeps answering correctly. Under police interrogation, he explains how each answer connects to a specific event in his harrowing life story. His experiences of poverty, crime, and lost love have accidentally given him every answer."
mov-089,The Revenant,"A frontiersman on a fur trading expedition in the 1820s American wilderness is mauled by a bear and left for dead by his companions. Driven by the murder of his son, he survives alone through brutal winter conditions. He crawls, rides rivers, and fights starvation across hundreds of miles to reach the man who betrayed him."
mov-090,Mad Max 2: The Road Warrior,"In a post-apocalyptic wasteland where gasoline is the most precious commodity, a lone drifter encounters a small community of settlers defending an oil refinery from a marauding gang. He reluctantly agrees to help them escape with their fuel by driving a tanker truck through a gauntlet of armored vehicles and warriors."
mov-091,Singin' in the Rain,"A silent film star must adapt to talking pictures when the technology arrives in Hollywood. His female co-star has a terrible voice that threatens to ruin their first sound film. Along with his comedian best friend and a talented young singer they meet by chance, they devise a plan to dub the voice and save the production."
mov-092,La La Land,"An aspiring actress working as a barista and a jazz pianist playing restaurant background music fall in love in Los Angeles. They encourage each other's dreams but as both begin to succeed, their ambitions pull them in different directions. The film ends with a bittersweet fantasy of the life they might have shared."
mov-093,Everything Everywhere All at Once,"A middle-aged Chinese-American laundromat owner being audited by the IRS discovers she can access the skills and memories of herself in parallel universes. She must use this ability to fight a nihilistic force threatening all of reality. The multiverse adventure becomes a story about a mother and daughter reconnecting across infinite possibilities."
mov-094,Oppenheimer,"The story of the theoretical physicist who led the secret project to build the first atomic bomb during World War Two. After the weapon is used on Japan, he faces a security hearing driven by political enemies who question his loyalty. The film contrasts the thrill of scientific discovery with the moral weight of creating a weapon of mass destruction."
mov-095,The Pianist,"A Polish-Jewish pianist survives the Warsaw ghetto and the destruction of the city during World War Two. Separated from his family during deportations, he hides alone in abandoned apartments, slowly starving. A German officer who discovers him hiding in ruins is moved by his playing and secretly brings him food until the war ends."
mov-096,Birdman,"A washed-up actor famous for playing a superhero tries to reclaim artistic credibility by writing, directing, and starring in a Broadway play. As opening night approaches, his ego, relationships, and sanity unravel. The film is shot to appear as one continuous take as he argues with the superhero voice in his head."
mov-097,The Shape of Water,"A mute cleaning woman at a secretive government laboratory discovers an amphibious creature being held captive for Cold War research. She forms a bond with it through music and hard-boiled eggs. With help from her neighbor and a coworker, she plots to rescue the creature before it is vivisected."
mov-098,12 Years a Slave,"A free Black man living with his family in New York State in 1841 is kidnapped and sold into slavery in Louisiana. For twelve years he endures brutal plantation conditions while maintaining hope of rescue. His story exposes the systematic cruelty of American slavery through the eyes of someone who knew freedom and had it stolen."
mov-099,Rocky,"A small-time boxer and debt collector in Philadelphia gets a once-in-a-lifetime shot to fight the heavyweight champion of the world. With only weeks to train, he pushes himself through grueling workouts including running up the steps of the art museum. The fight is not really about winning but about proving he can go the distance."
mov-100,Ratatouille,"A rat with an exceptional sense of taste and smell dreams of becoming a chef in Paris. He forms a secret partnership with a clumsy garbage boy at a famous restaurant, controlling his movements from under his chef hat. Together they create extraordinary dishes while hiding the truth from the kitchen staff and a feared food critic."
mov-101,Inside Out,"The emotions inside an eleven-year-old girl's mind are personified as colorful characters who operate a control console. When the family moves to a new city, Joy and Sadness are accidentally ejected from headquarters into the vast landscape of long-term memory. They must find their way back before the girl's personality crumbles."
mov-102,Finding Nemo,"An overprotective clownfish crosses the entire ocean to rescue his son who was captured by a scuba diver and placed in a fish tank at a dentist's office in Sydney. Along the way he teams up with a blue tang fish with severe short-term memory loss. Father and son both learn that sometimes you have to let go."
mov-103,Monsters Inc.,"In a world where monsters power their city by scaring children at night through closet doors, the top scarer and his one-eyed assistant accidentally let a human toddler into their world. They must return her while evading a scheming rival and discover that children's laughter produces far more energy than screams."
mov-104,Zootopia,"A rabbit from a farming community becomes the first of her kind to join the police force of a large mammal metropolis. Partnered with a con artist fox, she uncovers a conspiracy behind a string of missing predator cases. Their investigation challenges the city's assumptions about which animals are naturally dangerous."
mov-105,Grave of the Fireflies,"A teenage boy and his young sister struggle to survive in the final months of World War Two in Japan after firebombing destroys their home and kills their mother. Rejected by relatives and too proud to beg, they take shelter in an abandoned hillside bunker. Starvation slowly takes its toll as the war grinds on."
mov-106,Your Name,"A teenage boy in Tokyo and a teenage girl in rural Japan mysteriously begin swapping bodies every few days. They communicate through notes and phone memos, gradually developing feelings for each other. When the boy tries to meet the girl in person, he discovers a devastating truth about the timeline they inhabit."
mov-107,Sholay,"Two petty criminals are hired by a retired police officer to capture the ruthless bandit who murdered his family and cut off his arms. They travel to a remote village terrorized by the bandit and his gang. What begins as a job for reward money becomes personal when both men fall in love and the stakes turn deadly."
mov-108,Mother India,"A woman in rural India endures a lifetime of hardship after her husband abandons the family. She raises her sons alone, fights floods and famine, resists a moneylender's exploitation, and becomes a pillar of the village. When her younger son turns to banditry, she faces the ultimate test of duty over maternal love."
mov-109,Pather Panchali,"A poor Bengali family struggles to survive in their crumbling ancestral home in a rural village. Through the eyes of a young boy, we see the rhythms of daily life, his elderly aunt's decline, his sister's resilience, and his mother's desperate pride. The family's hopes rest on the absent father who has gone to the city seeking work."
mov-110,The Lunchbox,"A young housewife in Mumbai prepares an elaborate lunch for her husband hoping to rekindle their marriage, but the city's famously accurate lunchbox delivery system sends it to the wrong person. A lonely widower about to retire begins receiving her meals and they start exchanging notes inside the lunchbox, developing an unexpected connection."
mov-111,Taxi Driver,"A mentally unstable Vietnam War veteran works as a nighttime taxi driver in a decaying New York City. Disgusted by the crime and sleaze he sees nightly, he fixates on rescuing a teenage sex worker and assassinating a political candidate. His isolation and rage build toward an explosion of violence."
mov-112,Apocalypse Now,"During the Vietnam War, an Army captain is sent on a classified mission up a Cambodian river to find and terminate a rogue Special Forces colonel who has gone insane and established his own army in the jungle. The journey upstream becomes an increasingly surreal descent into the madness and moral chaos of war."
mov-113,Casablanca,"An American nightclub owner in wartime Morocco is reunited with a former lover who arrives with her husband, a resistance leader fleeing the Nazis. The club owner possesses transit letters that could get the couple to safety. He must choose between his own broken heart and the larger fight against tyranny."
mov-114,It's a Wonderful Life,"A generous but frustrated small-town banker is about to end his life on Christmas Eve when a guardian angel intervenes. The angel shows him what his town and loved ones would look like if he had never existed. Seeing the profound impact of his ordinary life transforms his despair into gratitude."
mov-115,The Wizard of Oz,"A Kansas farm girl is swept away by a tornado to a magical land of color and strange creatures. To find her way home she must follow a yellow brick road to meet a powerful wizard, collecting companions along the way. Each companion seeks something they believe they lack but already possess."
mov-116,E.T. the Extra-Terrestrial,"A gentle alien botanist is accidentally stranded on Earth and discovered by a lonely ten-year-old boy who hides it in his bedroom. As the boy and his siblings bond with the creature, government agents close in. The alien grows sick and the boy must help it contact its ship before the authorities capture it."
mov-117,Terminator 2: Judgment Day,"A shape-shifting liquid metal assassin is sent from the future to kill a teenage boy destined to lead humanity's resistance against machines. A reprogrammed robot identical to the one that previously tried to kill the boy's mother is sent back to protect him. Mother, son, and machine try to prevent a nuclear war before it begins."
mov-118,The Princess Bride,"A farmhand sets out to rescue his true love after she is kidnapped and forced to marry a cruel prince. He battles a giant, outwits a genius, and duels an expert swordsman, surviving each encounter through cleverness and determination. The adventure is framed as a story a grandfather reads to his sick grandson."
mov-119,Monty Python and the Holy Grail,"King Arthur and his knights embark on a quest for the Holy Grail, encountering absurd obstacles including a killer rabbit, knights who demand shrubbery, a bridge keeper who asks trick questions, and a French castle that taunts them. The quest is repeatedly interrupted by modern-day police investigating an actual murder."
mov-120,The Thing,"A research team at a remote Antarctic station encounters an alien organism that can perfectly imitate any living creature. Paranoia consumes the group as they realize any one of them could be the alien in disguise. They must find a way to identify and destroy it before it reaches civilization and assimilates all life on Earth."
